!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
metomidate	Launched	cytochrome p450 inhibitor	CYP1B1 | CYP3A4	radiology	pet imaging
metoprine	Phase 2	histamine n-methyltransferase inhibitor	DHFR | HNMT	oncology	renal cell carcinoma (rcc)
metoprolol	Launched	adrenergic receptor antagonist	ADRB1 | ADRB2	cardiology | cardiology | cardiology	angina pectoris | hypertension | myocardial infarction
metoprolol tartrate	Launched	adrenergic receptor antagonist	ADRB1 | ADRB2	cardiology	"hypertension, angina pectoris, myocardial infarction"
metoxibutropate	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2		
metrifonate	Phase 3	acetylcholinesterase inhibitor	ACHE | BCHE		
metrizamide	Launched	radiopaque medium		radiology	contrast agent
metrizoic-acid	Launched	radiopaque medium		radiology	contrast agent
metronidazole	Launched	DNA inhibitor	CYP2C8 | CYP2C9 | CYP2E1 | CYP3A4 | CYP3A5 | CYP3A7	dermatology	rosacea
metyrapone	Launched	cytochrome P450 inhibitor	CYP11B1 | HSD11B1 | NR3C2	nephrology	adrenal diagnostic agent
mevastatin	Preclinical	HMGCR inhibitor	HMGCR		
mexeneone	Preclinical				
mexiletine	Launched	sodium channel blocker	CYP2B6 | CYP2E1 | KCNK2 | KCNK3 | PLAU | SCN4A | SCN5A	cardiology | cardiology	ventricular arrhythmias | ventricular tachycardia (VT)
mezlocillin	Launched	bacterial cell wall synthesis inhibitor		infectious disease | infectious disease	gram-negative bacterial infections | gram-positive bacterial infections
MF-101	Phase 3	estrogen receptor agonist	CYP19A1 | ESR2 | XDH		
MG-132	Preclinical	proteasome inhibitor	PSMB1		
MG-624	Preclinical	acetylcholine receptor antagonist	CHRNA7		
MGCD-265	Preclinical	VEGFR inhibitor	AXL | KDR | MET		
mhp		sphingosine kinase inhibitor	SPHK1	dermatology	sunburn
MI-14	Preclinical	PI4K inhibitor	PI4KB		
mi-773					
mianserin	Launched	serotonin receptor antagonist	ADRA1A | ADRA1B | ADRA1D | HRH1 | HRH2 | HTR2A | HTR2B | HTR2C | HTR6 | HTR7	neurology/psychiatry	depression
mianserin hydrochloride	Launched	5-ht2a receptor antagonist	HTR2A	Neurology	depression
mibampator	Phase 2	glutamate receptor modulator	GRIA1		
mibefradil	Withdrawn	T-type calcium channel blocker	ANO1 | CACNA1C | CACNA1D | CACNA1F | CACNA1G | CACNA1H | CACNA1I | CACNA1S | CACNB1 | CACNB2 | CACNB3 | CACNB4 | CATSPER1 | CATSPER2 | CATSPER3 | CATSPER4 | SCN2A | SCN4A | SCN5A | SCN9A		
micafungin	Launched	"fungal 1,3-beta-D-glucan synthase inhibitor"		infectious disease | infectious disease | infectious disease | infectious disease	"candidemia | candidemia, peritonitis, esophageal candidiasis | esophageal candidiasis | peritonitis"
micafungin (sodium)					
miconazole	Launched	bacterial cell wall synthesis inhibitor	CYP19A1 | TRPM2 | TRPV5	infectious disease | neurology/psychiatry	itching | yeast infection
miconazole nitrate	Launched	bacterial cell wall synthesis inhibitor	TRPM2 | TRPV5	"infectious disease, neurology/psychiatry"	"yeast infection, itching"
micronomicin	Launched	protein synthesis inhibitor		infectious disease	gram-negative bacterial infections
midafotel	Phase 3	glutamate receptor antagonist	GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D		
midecamycin	Launched	protein synthesis inhibitor		infectious disease | infectious disease | infectious disease	ear infections | respiratory tract infections | skin infections
midodrine	Launched	adrenergic receptor agonist	ADRA1A | ADRA1B | ADRA1D	cardiology	hypotension
midostaurin	Launched	FLT3 inhibitor | KIT inhibitor | PKC inhibitor	CCNB1 | FLT1 | FLT3 | KDR | KIT | PDGFRB | PRKCA | PRKCG | VEGFA	hematologic malignancy	acute myeloid leukemia (AML)
mifepristone	Launched	glucocorticoid receptor antagonist | progesterone receptor antagonist	AR | CYP2B6 | CYP2C8 | CYP3A5 | CYP3A7 | NR1I2 | NR3C1 | PGR	endocrinology | endocrinology	diabetes mellitus | hyperglycemia
mifobate	Phase 2	PPAR receptor antagonist	PPARG | REN		
migalastat	Launched	alpha-galactosidase a inhibitor	GLA	endocrinology	fabry disease
miglitol	Launched	glucosidase inhibitor	GAA | GANAB | GANC | MGAM | SLC5A4	endocrinology	diabetes mellitus
miglustat	Launched	glycosyl transferase inhibitor	GAA | SLC5A4 | UGCG	hematology	Gaucher disease
mik665	Phase 1	mcl1 inhibitor	MCL1	hematologic malignancy	multiple myeloma
milacemide	Phase 3	monoamine oxidase inhibitor	MAOB		
milademetan	Phase 1	MDM inhibitor	MDM2		
milnacipran	Launched	serotonin–norepinephrine reuptake inhibitor (SNRI)	SLC6A2 | SLC6A4	rheumatology	fibromyalgia
milnacipran hydrochloride	Launched	serotoninânorepinephrine reuptake inhibitor (snri)	SLC6A2 | SLC6A4	rheumatology	fibromyalgia
milnacipran (hydrochloride)					
milrinone	Launched	phosphodiesterase inhibitor	PDE2A | PDE3A | PDE3B | PDE5A	cardiology	congestive heart failure
miltefosine	Launched	membrane integrity inhibitor	PLA2G1B	infectious disease	leishmaniasis
mimosine	Preclinical	DNA replication inhibitor	CCL2 | SHMT1 | SHMT2 | TYR		
minaprine	Withdrawn	serotonin reuptake inhibitor	ACHE | CHRM1 | DRD1 | DRD2 | HTR2A | HTR2B | HTR2C | MAOA | SLC6A4		
minerval	Phase 1/Phase 2	FAAH inhibitor	FAAH		
minocycline	Launched	bacterial 30S ribosomal subunit inhibitor | ribosomal protein inhibitor	PARP1	endocrinology | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | neurology/psychiatry | ophthalmology | urology	brucellosis | chancroid | cholera | conjunctivitis | fever | psittacosis | respiratory tract infections | stroke | trachoma | tularemia | urethritis
minocycline hydrochloride	Launched	"ribosomal protein inhibitor, bacterial 30s ribosomal subunit inhibitor"		"neurology/psychiatry, endocrinology, infectious disease, ophthalmology, urology"	"stroke, fever, respiratory tract infections, psittacosis, trachoma, conjunctivitis, urethritis, chancroid, tularemia, cholera, brucellosis"
minodronic-acid	Launched	bone resorption inhibitor	FDPS | GGPS1	orthopedics	osteoporosis
minoxidil	Launched	KATP activator | Kir6 channel (KATP) activator | vasodilator	ABCC9 | KCNJ1 | KCNJ10 | KCNJ11 | KCNJ8 | PTGS1 | REN	endocrinology	androgenetic alopecia
miocamycin	Launched	other antibiotic		infectious disease | infectious disease	chlamydia | urinary tract infections
MIRA-1	Preclinical	apoptosis stimulant			
mirabegron	Launched	adrenergic receptor agonist	ADRB1 | ADRB2 | ADRB3	urology	urinary incontinence
miridesap	Preclinical	amyloid protein inhibitor	APCS		
mirin	Preclinical	MRE11A exonuclease inhibitor	MRE11A		
miriplatin	Launched	dna alkylating drug | DNA synthesis inhibitor		oncology | Oncology	hepatic cancer | hepatocellular carcinoma (HCC)
mirodenafil	Launched	phosphodiesterase inhibitor	PDE5A	urology	erectile dysfunction
mirogabalin-besylate	Preclinical	calcium channel antagonist	CACNA2D2		
mirtazapine	Launched	adrenergic receptor antagonist | serotonin receptor antagonist	ADRA2A | ADRA2B | ADRA2C | HTR2A | HTR2C | HTR3A	neurology/psychiatry	depression
misonidazole	Phase 3				
misoprostol	Launched	prostanoid receptor agonist	PTGER1 | PTGER2 | PTGER3 | PTGER4 | PTGIR	gastroenterology	duodenal ulcer disease
mitapivat	Preclinical	pyruvate kinase isozyme activator	PKM		
mitiglinide	Launched	insulin secretagogue	ABCC8 | INS | KCNJ10 | KCNJ11 | PPARG	endocrinology	diabetes mellitus
mitoflaxone	Phase 2	antitumor agent	VWF		
mitoguazone	Phase 2	polyamine biosynthesis inhibitor	AMD1	oncology	follicular lymphoma
mitomycin-C	Launched	DNA alkylating agent | DNA synthesis inhibitor		oncology | oncology	gastric adenocarcinoma | pancreatic cancer
mitoquinone	Launched	antioxidant			
mitotane	Launched	antineoplastic agent	CYP11A1 | CYP11B1 | CYP3A4 | ESR1	oncology	adrenal cortical carcinoma
mitoxantrone	Launched	topoisomerase inhibitor	PIM1 | TOP2A	hematologic malignancy | neurology/psychiatry | oncology	acute myeloid leukemia (AML) | multiple sclerosis | prostate cancer
mivacurium	Launched	acetylcholine receptor antagonist	CHRNA2	critical care | neurology/psychiatry	endotracheal intubation | muscle relaxant
mivacurium chloride	Launched				
mivebresib	Phase 1	bromodomain inhibitor	BRD4 | MYC | TMPRSS2-ERG		
mivobulin	Phase 2	microtubule inhibitor			
MIW-815	Preclinical	interferon inducer	TMEM173		
mizolastine	Launched	histamine receptor antagonist	HRH1	allergy | allergy	allergic rhinitis | urticaria
mizoribine	Launched	immunosuppressant | inosine monophosphate dehydrogenase inhibitor	IMPDH1	rheumatology | transplant	nephrotic syndrome | organ rejection
MJ-15	Preclinical	cannabinoid receptor antagonist	CNR1		
MK-0354	Phase 2	niacin receptor agonist	HCAR2 | HCAR3		
mk-0429	Phase 1	integrin antagonist	ITGAV	nephrology	diabetic nephropathy
MK-0557	Phase 3	neuropeptide receptor antagonist	NPY5R		
MK-0608	Phase 1	antiviral			
MK-0752	Phase 1/Phase 2	gamma secretase inhibitor			
MK-0773	Phase 2	androgen receptor modulator	AR		
MK-0812	Phase 2	CC chemokine receptor antagonist	CCR2		
MK-0893	Phase 2	glucagon receptor antagonist	GCGR		
mk-0941	Phase 2	glucokinase activator	GCK	endocrinology	diabetes mellitus
MK-1064	Phase 1	orexin receptor antagonist	HCRTR2		
MK-1775	Phase 2	WEE1 kinase inhibitor	WEE1		
MK-1903	Phase 2	niacin receptor agonist	HCAR2		
MK-2048	Preclinical	HIV integrase inhibitor			
MK-2206	Phase 2	AKT inhibitor	AKT1 | AKT2 | AKT3		
MK-2295	Phase 2	TRPV antagonist	TRPV1		
MK-2461	Phase 1/Phase 2	FGFR inhibitor | VEGFR inhibitor	FGFR1 | FGFR2 | FGFR3 | FLT1 | FLT3 | FLT4 | KDR | MERTK | MET | MST1R | NTRK1 | NTRK2 | PDGFRB		
MK-2894	Preclinical	prostaglandin inhibitor	PTGER4		
MK2-IN-1	Preclinical	MAP kinase inhibitor	MAPKAPK2		
MK-3207	Phase 2	calcitonin antagonist	CALCA | CALCRL | RAMP1		
MK-3697	Phase 2	orexin receptor antagonist	HCRTR2		
MK-4074	Phase 1	acetyl-CoA carboxylase inhibitor	ACACA | ACACB		
MK-5046	Preclinical	bombesin receptor agonist	BRS3 | GRPR | NMBR		
MK-5108	Phase 1	Aurora kinase inhibitor	AURKA | AURKB | AURKC		
MK-571	Phase 2	leukotriene receptor antagonist	ABCC2 | CYSLTR1		
MK-6096	Phase 2	orexin receptor antagonist	HCRTR1 | HCRTR2		
MK-7246	Preclinical	CRTH receptor antagonist	PTGDR2		
MK-7622	Phase 2	cholinergic receptor agonist	CHRM1		
MK-8033	Phase 1	c-Met inhibitor	MET | MST1R		
MK-8245	Phase 2	stearoyl-CoA desaturase inhibitor	SCD		
MK-8617	Preclinical	hypoxia inducible factor prolyl hydroxylase inhibitor	EGLN1 | EGLN2 | EGLN3		
MK-8745	Preclinical	Aurora kinase inhibitor	AURKA		
MK-886	Preclinical	lipoxygenase inhibitor	ALOX5AP		
MK-8998	Phase 2	T-type calcium channel blocker	CACNA1G		
mkc8866		ire1 inhibitor	ERN1	oncology	prostate cancer
MKT-077	Phase 1	HSP inhibitor			
ML10302	Preclinical	serotonin receptor partial agonist	HTR3A | HTR3B | HTR4		
ML130	Preclinical	NOD1 inhibitor			
ML133	Preclinical	potassium channel blocker			
ML141	Preclinical	GTPase inhibitor	CDC42		
ML161	Preclinical	protease-activated receptor inhibitor			
ML167	Preclinical	CLK inhibitor | DYRK inhibitor	CLK1 | CLK4 | DYRK1B		
ML179	Preclinical	liver receptor homolog inverse agonist	NR5A2		
ML193	Preclinical	G protein-coupled receptor antagonist	GPR55		
ML204	Preclinical	transient receptor potential channel antagonist	TRPC4 | TRPC5		
ML213	Preclinical	potassium channel activator	KCNQ2 | KCNQ4		
ML218	Preclinical	T-type calcium channel blocker	CACNA1G | CACNA1H | CACNA1I		
ML228	Preclinical	hypoxia inducible factor activator	HIF1A		
ML277	Preclinical	potassium channel activator	KCNQ1		
ML281	Preclinical	serine/threonine kinase inhibitor	STK33		
ML297	Preclinical	inward rectifier potassium channel activator	KCNJ3		
ML298	Preclinical	phospholipase inhibitor	PLD2		
ML314	Preclinical	neurotensin agonist	NTSR1		
ML323	Preclinical	ubiquitin specific protease inhibitor	USP1		
ML324	Preclinical	histone lysine demethylase inhibitor	KDM4A | KDM4E		
ML3403	Preclinical	MAP kinase inhibitor	CYP3A4 | IL1B | MAPK11 | MAPK12 | MAPK14 | TNF		
ML347	Preclinical	ALK tyrosine kinase receptor inhibitor	ACVR1 | ACVRL1 | BMPR1A		
ML348	Preclinical	lysophospholipase inhibitor	LYPLA1		
ml355	Phase 1	lipoxygenase inhibitor	ALOX12	hematology	thrombosis
ML365	Preclinical	potassium channel blocker	KCNK3 | KCNK9		
ML786	Preclinical	RAF inhibitor	BRAF | RAF1		
ML9	Preclinical	myosin light chain kinase inhibitor	TRPC6		
MLN0128	Phase 2	mTOR inhibitor	MTOR | PIK3CA | PIK3CD | PIK3CG		
MLN1117	Phase 2	PI3K inhibitor	PIK3CA		
MLN2480	Phase 1/Phase 2	RAF inhibitor			
MLN8054	Phase 1	Aurora kinase inhibitor	AURKA		
MLN9708	Phase 3	proteasome inhibitor			
MM-102	Preclinical	WDR5/MLL interaction inhibitor			
MM-11253	Preclinical	retinoid receptor antagonist	RARG		
MM-206	Preclinical	STAT inhibitor			
MM77	Preclinical	serotonin receptor antagonist	ADRA1A | HTR1A		
mmaf (hydrochloride)		tubulin polymerisation inhibitor	TPPP	oncology	breast cancer
MMPX	Preclinical	phosphodiesterase inhibitor			
MMV-390048	Preclinical	PI4K inhibitor	PI4KB		
MN-64	Preclinical	tankyrase inhibitor	TNKS		
MNITMT	Preclinical	lymphocyte inhibitor			
mobocertinib	Phase 2	egfr inhibitor	EGFR	oncology	non-small cell lung cancer (nsclc)
mocetinostat	Phase 2	HDAC inhibitor	HDAC1 | HDAC11 | HDAC2 | HDAC3		
moclobemide	Launched	monoamine oxidase inhibitor	CYP2C19 | MAOA | MAOB	neurology/psychiatry | neurology/psychiatry	anxiety | depression
modaline	Preclinical				
moexipril	Launched	angiotensin converting enzyme inhibitor	ACE | ACE2	cardiology	hypertension
mofegiline	Phase 1	monoamine oxidase inhibitor	MAOA | MAOB		
mofezolac	Launched	cyclooxygenase inhibitor	PTGS1	orthopedics | rheumatology	osteoporosis | rheumatoid arthritis
moguisteine	Phase 2	ATP-sensitive potassium channel inhibitor			
molidustat	Phase 3	hypoxia inducible factor inhibitor	EGLN2		
molindone	Launched	dopamine receptor antagonist	DRD2 | DRD5 | HRH1 | HTR2A	neurology/psychiatry	schizophrenia
molnupiravir	Phase 2/Phase 3	antiviral			
molsidomine	Launched	guanylate cyclase stimulant	GUCY1A3	cardiology	coronary artery disease (CAD)
mometasone	Launched	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses
mometasone-furoate	Launched	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses
monastrol	Preclinical	kinesin inhibitor	KIF11		
monensin	Launched	bacterial permeability inducer		infectious disease	gastrointestinal parasites
monepantel	Preclinical	mTOR inhibitor	MTOR		
monobenzone	Launched	melanin inhibitor	TYR	dermatology	skin depigmentation
monocrotaline	Preclinical	antitumor agent			
monoctanoin	Launched			gastroenterology	gallstones
monomethyl-fumarate	Launched		HCAR2	neurology/psychiatry	multiple sclerosis
monosodium-alpha-luminol	Launched				
monostearin	Preclinical				
montelukast	Launched	leukotriene receptor antagonist	ALOX5 | CYP2C8 | CYSLTR1	allergy | pulmonary | pulmonary	allergic rhinitis | asthma | exercise-induced bronchoconstriction (EIB)
moprolol	Launched	adrenergic receptor antagonist		cardiology | neurology/psychiatry | ophthalmology	anxiety | glaucoma | hypertension
moracizine	Withdrawn	sodium channel blocker	SCN5A	cardiology	ventricular arrhythmias
morantel	Launched	acetylcholine receptor agonist		infectious disease	tapeworm
morin	Preclinical	cytochrome P450 inhibitor	ADORA2A | CYP1A2 | ESR2 | FASN | MCL1 | SLC22A12		
morinidazole	Launched	other antibiotic	CYP51A1		
morniflumate	Launched	anti-inflammatory agent		neurology/psychiatry	pain relief
moroxydine	Launched	antiviral		infectious disease	influenza A virus infection
moroxydine hcl	Launched	antiviral		infectious disease	influenza a virus infection
morphothiadin	Preclinical	antiinfective drug			
mosapride	Launched	serotonin receptor agonist	HTR3A | HTR4	gastroenterology | gastroenterology | gastroenterology | gastroenterology	dyspepsia | gastroesophageal reflux disease (GERD) | hypertrophic gastritis (GHG) | irritable bowel syndrome
mosapride citrate	Launched	5-ht4 receptor agonist	5-HT4	Gastroenterology	gastroesophageal reflux disease (gerd)
motapizone	Preclinical	phosphodiesterase inhibitor			
motesanib	Phase 3	KIT inhibitor | PDGFR tyrosine kinase receptor inhibitor | VEGFR inhibitor	FLT1 | FLT4 | KDR | KIT | PDGFRA | RET		
motolimod	Phase 2	toll-like receptor agonist	TLR8		
moxalactam	Launched	bacterial cell wall synthesis inhibitor		infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease	bone and joint infections | gram-negative bacterial infections | gram-positive bacterial infections | meningitis | pneumonia | skin infections | urinary tract infections
moxalactam (sodium salt)					
moxaverine	Launched	phosphodiesterase inhibitor		neurology/psychiatry	spasms
moxidectin	Launched	chloride channel antagonist		infectious disease	gastrointestinal parasites
moxifloxacin	Launched	bacterial DNA gyrase inhibitor	TOP2A	infectious disease | infectious disease | infectious disease | otolaryngology | pulmonary	bronchitis | intra-abdominal infections | pneumonia | sinusitis | skin infections
moxisylyte	Withdrawn	adrenergic receptor antagonist			
moxonidine	Launched	imidazoline receptor agonist	ADRA2A | ADRA2B | ADRA2C | NISCH	cardiology	hypertension
mozavaptan	Launched	vasopressin receptor antagonist	AVPR1A | AVPR1B | AVPR2	endocrinology	hyponatremia
MPEP	Preclinical	glutamate receptor antagonist	GRM1 | GRM4 | GRM5		
MPI-0479605	Preclinical	mitotic kinase inhibitor	TTK		
Mps1-IN-1	Preclinical	monopolar spindle 1 kinase inhibitor	ALK | TTK		
Mps1-IN-5	Phase 1	protein kinase inhibitor	TTK		
Mps-BAY-2a	Preclinical	monopolar spindle 1 kinase inhibitor	TTK		
MR-16728	Preclinical	acetylcholine release enhancer			
MR-948	Phase 1	thromboxane synthase inhibitor	TBXAS1		
MRK-016	Phase 1	GABA receptor inverse agonist	GABRA1 | GABRA2 | GABRA3 | GABRA5		
MRK-409	Phase 1	benzodiazepine receptor agonist			
MRK-560	Preclinical	gamma secretase inhibitor	APP		
MRS-1220	Preclinical	adenosine receptor antagonist	ADORA2B | ADORA3		
MRS-1334	Preclinical	adenosine receptor antagonist	ADORA3		
MRS-1845	Preclinical	calcium channel blocker			
MRS-2578	Preclinical	purinergic receptor antagonist	P2RY6		
MRS-3777	Preclinical	adenosine receptor antagonist	ADORA1 | ADORA2A | ADORA2B | ADORA3		
mrtx849	Phase 3	ras gtpase inhibitor	KRAS	oncology	gastric adenocarcinoma
MRX-2843	Phase 1	MER tyrosine kinase inhibitor	FLT3 | MERTK		
MS-424	Phase 2	glutamate transporter modulator	SLC1A2		
msc2360844	Phase 1	pi3k inhibitor	PIK3CD	rheumatology	lupus
MSDC-0160	Phase 2	insulin sensitizer	INS		
MSDC-0602K	Phase 2	mitochondrial pyruvate carrier modulator	MPC1 | MPC2		
MSX-122	Phase 2	CC chemokine receptor antagonist	CXCR4		
mtep	Preclinical	glutamate metabotropic receptor antagonist	GRM5	Neurology	parkinson's disease
m-THP	Phase 1				
MTPG	Preclinical	glutamate receptor antagonist	GRM2 | GRM3		
mubritinib	Phase 1	protein tyrosine kinase inhibitor	EGFR | ERBB2		
mupirocin	Launched	isoleucyl-tRNA synthetase inhibitor		infectious disease	impetigo
muscimol	Phase 1	benzodiazepine receptor agonist	GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6 | GABRR1 | GABRR2 | GABRR3		
MUT056399	Phase 1	FABI inhibitor			
mw-150	Preclinical	p38 mapk inhibitor	MAPK14	neurology/psychiatry	alzheimer's disease
MY-5445	Preclinical	phosphodiesterase inhibitor | platelet aggregation inhibitor	PDE5A		
mycophenolate-mofetil	Launched	dehydrogenase inhibitor | inositol monophosphatase inhibitor	HCAR2 | IMPDH1 | IMPDH2	transplant	organ rejection
mycophenolic-acid	Launched	dehydrogenase inhibitor | inositol monophosphatase inhibitor	IMPDH1 | IMPDH2	transplant	organ rejection
myricetin	Preclinical	androgen receptor agonist | cytochrome P450 inhibitor	AR | CYP3A4 | PIK3CG		
myricitrin	Preclinical	PKC inhibitor	AKR1B1 | NOS1 | PRKCA		
myristyl-nicotinate	Phase 1	topical sunscreen agent			
N20C	Preclinical	glutamate receptor antagonist			
N-(2-chlorophenyl)-2-({(2E)-2-[1-(2-pyridinyl)ethylidene]hydrazino}carbothioyl)hydrazinecarbothioamide	Preclinical				
N-[2-(piperidinylamino)ethyl]-4-iodobenzamide	Preclinical	sigma receptor ligand			
n-(4-carboxyphenyl)pentopyranosylamine					
N6022	Phase 1/Phase 2	alcohol dehydrogenase inhibitor	ADH5		
N6-cyclopentyladenosine	Preclinical	adenosine receptor agonist	ADORA1 | ADORA2A | ADORA2B | ADORA3 | SLC29A1		
N6-methyladenosine	Preclinical				
NAB-2	Preclinical	ubiquitin ligase transport promoter	NEDD4		
nabumetone	Launched	cyclooxygenase inhibitor	AKR1C3 | CYP2B6 | CYP2C19 | CYP2E1 | PTGS1 | PTGS2	rheumatology | rheumatology	osteoarthritis | rheumatoid arthritis
N-acetylcarnosine	Launched				
n-acetylcysteine amide	Preclinical	antioxidant	PSEN2	neurology/psychiatry	parkinson's disease
N-acetyl-D-glucosamine	Phase 2/Phase 3		B4GALT1 | B4GALT2 | B4GALT3 | B4GALT4 | NAGK | NAGLU | NAGPA | RENBP		
N-acetylglycyl-D-glutamic-acid	Preclinical	glutamate receptor agonist			
N-acetylmannosamine	Phase 2				
N-acetyltryptamine	Preclinical	melatonin receptor agonist			
N-acetyl-tyrosine	Launched				
nadide	Launched	free radical scavenger	AHCY | AKR1A1 | ALDH2 | BLVRA | DHPS | DLD | GALE | HMGCR | HSD17B1 | HSD17B4 | IMPDH2 | MGAM | P2RY11 | SORD | TRPM2		
nadifloxacin	Launched	bacterial DNA gyrase inhibitor		dermatology | infectious disease	acne vulgaris (AV) | skin infections
nadolol	Launched	adrenergic receptor antagonist	ADRB1 | ADRB2 | ADRB3	cardiology | cardiology	angina pectoris | hypertension
NADPH	Preclinical		DRD2 | DRD3 | DRD4 | GHSR | HTR2A | HTR2C		
nafadotride	Preclinical	dopamine receptor antagonist	DRD2 | DRD3 | HTR1A		
nafamostat	Launched	serine protease inhibitor	ASIC1 | ASIC2 | ASIC3 | C1R | PRSS1 | TPSAB1 | TRPM7	cardiology	anticoagulent
nafcillin	Launched	bacterial cell wall synthesis inhibitor	CYP1A2 | CYP3A4 | SLC22A6	infectious disease	gram-positive bacterial infections
naftidrofuryl	Launched	adrenergic receptor antagonist		cardiology	claudication
naftifine	Launched	fungal squalene epoxidase inhibitor		infectious disease | infectious disease | infectious disease	tinea corporis | tinea cruris | tinea pedis
naftopidil	Launched	adrenergic receptor antagonist	ADRA1A | ADRA1D	urology	benign prostatic hyperplasia (BPH)
naftopidil dihcl	Launched	adrenergic receptor antagonist	ADRA1A	urology	benign prostatic hyperplasia (bph)
nalbuphine	Launched	opioid receptor agonist | opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1	neurology/psychiatry	pain relief
naldemedine	Launched	opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1	gastroenterology	constipation
nalfurafine	Launched	opioid receptor agonist	OPRK1 | OPRM1	nephrology	uremic pruritus
nalidixic-acid	Launched	bacterial DNA gyrase inhibitor		infectious disease	urinary tract infections
nalmefene	Launched	opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1	pulmonary	respiratory depression
nalmefene hcl	Launched	opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1	pulmonary	respiratory depression
naloxegol	Launched	opioid receptor antagonist	OPRM1	gastroenterology	constipation
naloxone	Launched	opioid receptor antagonist	CREB1 | ESR1 | OPRD1 | OPRK1 | OPRM1 | TLR4	pulmonary	respiratory depression
naloxone-benzoylhydrazone	Preclinical	opioid receptor antagonist	OPRK1 | OPRM1		
N-alpha-methylhistamine-dihydrochloride	Phase 3	histamine receptor agonist	HRH4		
naltrexone	Launched	opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1 | SIGMAR1	neurology/psychiatry	abstinence from alcohol
naltriben	Preclinical	opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1		
naltrindole	Preclinical	opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1		
namitecan	Phase 1	topoisomerase inhibitor	TOP1	oncology	soft tissue sarcoma (sts)
Nampt-IN-1	Preclinical				
NAN-190	Preclinical	serotonin receptor agonist	ADRA1A | ADRA1B | ADRA1D | HTR1A | HTR1F		
nanchangmycin	Preclinical	other antibiotic			
napabucasin	Phase 3	STAT inhibitor	STAT3		
napamezole	Preclinical	adrenergic receptor antagonist | monoamine reuptake inhibitor			
naphazoline	Launched	adrenergic receptor agonist	ADRA1A | ADRA2A	ophthalmology	eye irritation
naphthoquine-phosphate	Launched	antimalarial agent		infectious disease	malaria
napirimus	Phase 1	immunosuppressant			
naproxen	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	dental | endocrinology | neurology/psychiatry | neurology/psychiatry | neurology/psychiatry | neurology/psychiatry | otolaryngology | rheumatology	backache | common cold | fever | headache | muscle pain | pain relief | rheumatoid arthritis | toothache
naquotinib	Phase 3	EGFR inhibitor	EGFR		
narasin	Launched	antiprotozoal agent		infectious disease	coccidiosis
naratriptan	Launched	serotonin receptor agonist	HTR1A | HTR1B | HTR1D | HTR1E | HTR1F	neurology/psychiatry	migraine headache
naringenin	Phase 1	aromatase inhibitor | TRPV antagonist	CYP19A1 | CYP1B1 | ESR2 | GLO1 | HSD17B1		
naringeninic-acid	Phase 1		HCAR2 | PTGR1		
naringin	Preclinical	cytochrome P450 inhibitor	SLCO1A2		
naringin-dihydrochalcone	Preclinical	cytochrome P450 inhibitor			
narlaprevir	Phase 3	HCV inhibitor			
NAS-181	Preclinical	serotonin receptor antagonist	HTR1B		
nastorazepide	Phase 2	CCK receptor antagonist	CCKBR		
natamycin	Launched	fungal ergosterol inhibitor		infectious disease | ophthalmology | ophthalmology	blepharitis | conjunctivitis | fungal keratosis
nateglinide	Launched	insulin secretagogue	ABCC8 | CYP3A4 | INS | KCNJ10 | KCNJ11 | PPARG	endocrinology	diabetes mellitus
NAV-26	Preclinical	voltage-gated sodium channel blocker	SCN9A		
navarixin	Phase 2	CC chemokine receptor antagonist	CXCR1 | CXCR2		
navitoclax	Phase 2	BCL inhibitor	BCL2 | BCL2L1 | BCL2L2		
